message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (auto_init:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (firebase_data_collection_default_enabled:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | getString - (topic_operation_queue:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | getString - (|T|552367303137|*:{"token":"fmJ5dLPhSOufS7xRb8YWQL:APA91bFWztPBudF-GkUAEtlfP2SaFqzoFrJkBK4vCZ-0xBglHuh9FAO8wNcSc28Vbfh-7TGAszylm8tK6f5DvO-eau9A2fYil1PqF2jEEIzX7ZD4rpsVo6Cc3uo9pQ5ualaYZX8p3FTz","appVersion":"2410170","timestamp":1682270539866})'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | getBoolean - (proxy_notification_initialized:true)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (firebase_crashlytics_collection_enabled:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | getString - (existing_instance_identifier:71048e3f8855c5107a77962a2822ca3a06000685)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | getString - (firebase.installation.id:SYN_6083d09a-c4f5-462c-8abb-f6d1fc3a6908)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | getString - (crashlytics.installation.id:939d759582f446cead21ab777f35fcfd)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | getBoolean - (has_been_opened:true)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | getString - (last-used-date:2023-04-28)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (adfit_adid:true)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (adfit_limited:true)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | getString - (adfit-sdkid:56f8fc08-f529-465d-939a-97b0aed72727)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (measurement_enabled:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | getString - (consent_settings:G1)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | getInt - (consent_source:100)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | getLong - (first_open_time:1682032023939)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | getLong - (deferred_attribution_cache_timestamp:0)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | getString - (gmp_app_id:1:552367303137:android:b650fef8b606535f)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | getString - (admob_app_id:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | putString - (gmp_app_id:1:552367303137:android:b650fef8b606535f)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | putString - (admob_app_id:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | getString - (consent_settings:G1)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | getString - (app_instance_id:0eacf4a0ec22bd7e0854435d84474122)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | getString - (firebase_feature_rollouts:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (measurement_enabled:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (deferred_analytics_collection:true)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | getLong - (health_monitor:start:1682617995222)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (measurement_enabled:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (measurement_enabled:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | getBoolean - (deferred_analytics_collection:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | getString - (consent_settings:G1)'} data: None
